date	javascript	java	c#	php	python	c++	objective-c	swift	c	ruby-on-rails	bash	scala	r
2009-04	1054	1548	3328	976	770	1027	358	2	461	382	66	27	12
2009-05	1437	1833	3568	1190	1003	1230	500	1	479	528	99	12	2
2009-06	1560	2125	3898	1586	1046	1267	491	4	509	607	111	64	5
2009-07	1752	2289	4413	2044	1173	1472	680	1	545	664	112	59	51
2009-08	1862	2204	4466	2206	1147	1420	699	2	532	731	114	72	48
2009-09	1754	2282	4372	2281	1174	1474	694	4	578	714	115	63	139
2009-10	2037	2526	4744	2386	1430	1697	748	0	775	785	153	101	73
2009-11	2232	2778	4705	2713	1572	1770	758	2	978	817	126	95	94
2009-12	2308	2703	4516	2844	1599	1666	782	0	860	857	118	84	80
2010-01	2623	3745	5154	3464	1960	2001	990	0	987	1061	160	105	95
2010-02	2649	3607	5138	3187	1875	2291	1016	0	1036	1069	153	115	122
2010-03	2990	4478	6092	3772	2083	2448	1126	2	1128	1184	222	115	140
2010-04	3034	3923	5828	3681	1829	2505	1163	1	1187	1160	207	163	160
2010-05	3236	4213	5995	4020	2029	2422	1307	0	1180	1307	183	168	139
2010-06	3500	4341	6209	4142	2235	2842	1443	1	1162	1359	197	175	178
2010-07	3897	4568	6762	4680	2633	2707	1966	3	1290	1491	193	184	236
2010-08	4049	4777	7065	5229	2515	2669	1897	1	1382	1531	230	170	283
2010-09	4062	4775	6489	4762	2272	2765	1672	2	1392	1665	271	231	235
2010-10	4168	5096	6820	4597	2692	2970	1764	2	1456	1974	254	218	215
2010-11	4607	5671	7411	5219	2636	3396	1848	3	1677	1911	308	211	244
2010-12	5022	5758	7199	5493	2512	3169	1861	1	1473	2020	296	228	224
2011-01	5509	6635	8101	6548	2937	3532	2198	2	1470	2298	317	253	250
2011-02	5672	6988	8345	6843	3046	3484	2471	2	1647	2379	304	274	322
2011-03	6850	8618	10120	8285	3790	4226	3093	0	2109	2917	377	300	425
2011-04	7030	8013	9405	7820	3381	4220	3306	1	2049	2511	379	274	480
2011-05	7398	8702	10180	8245	3553	3941	3548	0	1847	2619	406	328	428
2011-06	7779	8044	9910	8171	3495	3858	3392	2	1782	2543	389	333	445
2011-07	8189	8272	9760	8860	3710	3896	3780	7	1671	2614	403	426	455
2011-08	9013	8817	10201	9116	3863	3998	3901	4	1832	2913	457	436	587
2011-09	8304	8442	9434	8267	3542	3977	3334	3	1926	2662	403	420	613
2011-10	8127	8662	9345	8238	3663	4396	3322	2	2148	2635	452	468	622
2011-11	8787	9761	10022	8878	3906	4539	3627	2	2221	2694	520	458	609
2011-12	8412	9327	9452	8506	3657	4426	3366	1	2029	2493	562	374	618
2012-01	9706	10283	10590	9515	4244	4625	3813	2	2250	2895	604	361	693
2012-02	10124	11160	10923	10155	4532	5177	3910	4	2430	3052	605	388	817
2012-03	10885	12653	11838	11175	5087	5316	3887	3	2761	3351	691	464	897
2012-04	10861	12251	11333	10687	4974	5391	3973	5	2690	3133	652	406	855
2012-05	11718	12411	11789	11218	5157	5069	3935	2	2504	3237	681	424	885
2012-06	11419	11311	11514	10855	5321	4722	3868	0	2345	3082	660	445	979
2012-07	12548	12487	12580	12068	5804	5378	4387	3	2406	3480	674	491	1131
2012-08	12631	12428	12151	12217	5904	5244	4283	3	2351	3405	711	463	1104
2012-09	11312	11801	11427	11222	5310	4978	3439	2	2566	2916	723	535	1066
2012-10	12580	13722	12937	12068	6199	5997	4185	1	3184	3364	804	538	1283
2012-11	12523	13852	12406	12108	6463	6360	3892	1	3220	3247	807	554	1352
2012-12	11921	12664	11135	11390	5815	5773	3778	1	2601	2991	687	481	1229
2013-01	14043	13982	13017	13206	6653	6133	4151	1	2945	3498	850	577	1523
2013-02	13990	14097	12798	12999	6830	6201	3984	2	3145	3362	914	591	1690
2013-03	15614	16258	14538	14631	7733	7334	4492	2	3499	3844	1051	673	1867
2013-04	15635	16564	14168	13853	8021	7267	4153	4	3586	3704	949	689	1859
2013-05	15213	15556	13669	13467	7892	6944	3864	0	3236	3522	995	662	1805
2013-06	14775	14195	12971	13024	7676	6267	3406	1	2987	3422	907	692	1794
2013-07	17035	15406	14381	14673	8677	6649	3806	2	3058	3858	1019	705	1988
2013-08	17034	15238	14007	14611	7999	6313	3567	1	3038	4124	1090	689	1934
2013-09	17916	16489	13941	14575	8032	6635	3974	6	3438	3907	1058	783	1729
2013-10	19971	19014	15367	15734	9584	8091	4488	4	4285	4104	1202	844	2119
